variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_yang_refusal,rank_zhao_topk,rank_zhao_relative_epsilon,rank_wang,rank_wang_robust,percentile_siren,percentile_yang_harmfulness,percentile_yang_refusal,percentile_zhao_topk,percentile_zhao_relative_epsilon,percentile_wang,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,29,13118,9787,4610,1794,3314,3141,912,671,0.02133183360908205,0.010046844584534965,0.0039084383467284,0.007221782622817171,0.006844671728236015,0.001985826733892678,0.001460487279591761,0.0075428407006975775,3,yang_refusal;wang;wang_robust,63
rank_consensus,31,4160,16514,98,132,802,5754,752,209,0.03599556186253545,0.00021144368077671765,0.0002855579606365981,0.0017460452402283592,0.012540572118643883,0.0016370536521991233,0.00045340500620162134,0.00755280564588882,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,64
rank_consensus,31,12529,12958,134,609,1117,8242,1172,286,0.028244080121896192,0.0002899176241577675,0.0013253377104355086,0.0024326922448125454,0.01796399353897866,0.002552582991644705,0.0006212520517666447,0.007632836611956005,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,65
rank_consensus,29,8993,17381,1377,1871,1423,953,923,678,0.0378854759989624,0.002999448502564572,0.004076285392293422,0.0030997207635514693,0.0020751998360766517,0.00200980488325911,0.0014757461019158542,0.007660240211231926,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,66
rank_consensus,16,5033,16312,1699,5262,89,102,626,967,0.035555235846897335,0.0037013543294728514,0.011468094892436201,0.0001918251949314552,0.00022016300781905652,0.0013623948503654487,0.0021057174807248375,0.007800683657521025,5,yang_harmfulness;zhao_topk;zhao_relative_epsilon;wang;wang_robust,67
rank_consensus,29,1175,2222,10440,3116,4872,4455,180,178,0.004841406340258658,0.02275526374874387,0.006790175934221397,0.010617960505808162,0.009708970661644334,0.00039018988514466453,0.0003858302216234951,0.007927113899634939,3,siren;wang;wang_robust,68
rank_consensus,29,9571,30,6628,7593,7582,3649,31,39,6.321512105695683e-05,0.014445745077394927,0.01654928272635918,0.016525304576992746,0.007952026262613052,6.539495281754155e-05,8.283360690221929e-05,0.00795482890344809,3,siren;wang;wang_robust,69
rank_consensus,31,12004,15091,5,140,1494,8885,47,14,0.032893661267223394,8.719327042338873e-06,0.0003029966147212758,0.003254488818552984,0.019365625361034634,0.00010027226098689703,2.8337812887601334e-05,0.00799344306606416,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,70
rank_consensus,30,5336,14478,1000,809,5668,3364,250,225,0.031557424397984965,0.0021776519288241336,0.0017613040625524521,0.012353106587233598,0.007330774210846407,0.0005427781083855948,0.0004882823143709769,0.008030188801456875,4,yang_harmfulness;yang_refusal;wang;wang_robust,71
rank_consensus,31,11695,2964,102,13503,1315,7257,512,149,0.00645884150661252,0.00022016300781905652,0.029432088431414864,0.0028642989334083198,0.015816859254802713,0.0011138940296587909,0.0003226151005665383,0.008032680037754687,4,yang_harmfulness;zhao_topk;wang;wang_robust,72
