layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_yang_refusal,percentile_yang_refusal,rank_zhao_topk,percentile_zhao_topk,rank_zhao_relative_epsilon,percentile_zhao_relative_epsilon,rank_wang,percentile_wang,rank_wang_robust,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
30,4381,7741,0.01687189782692572,1835,0.003997811448912373,1902,0.004143860176871549,5857,0.012765094789984109,3958,0.00862559427663373,1895,0.004128601354547456,1016,0.002212529236993489,0.007535055587266919,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,13118,9787,0.02133183360908205,4610,0.010046844584534965,1794,0.0039084383467284,3314,0.007221782622817171,3141,0.006844671728236015,912,0.001985826733892678,671,0.001460487279591761,0.0075428407006975775,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,4160,16514,0.03599556186253545,98,0.00021144368077671765,132,0.0002855579606365981,802,0.0017460452402283592,5754,0.012540572118643883,752,0.0016370536521991233,209,0.00045340500620162134,0.00755280564588882,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,12529,12958,0.028244080121896192,134,0.0002899176241577675,609,0.0013253377104355086,1117,0.0024326922448125454,8242,0.01796399353897866,1172,0.002552582991644705,286,0.0006212520517666447,0.007632836611956005,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,8993,17381,0.0378854759989624,1377,0.002999448502564572,1871,0.004076285392293422,1423,0.0030997207635514693,953,0.0020751998360766517,923,0.00200980488325911,678,0.0014757461019158542,0.007660240211231926,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
16,5033,16312,0.035555235846897335,1699,0.0037013543294728514,5262,0.011468094892436201,89,0.0001918251949314552,102,0.00022016300781905652,626,0.0013623948503654487,967,0.0021057174807248375,0.007800683657521025,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,1175,2222,0.004841406340258658,10440,0.02275526374874387,3116,0.006790175934221397,4872,0.010617960505808162,4455,0.009708970661644334,180,0.00039018988514466453,178,0.0003858302216234951,0.007927113899634939,6,siren;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,9571,30,6.321512105695683e-05,6628,0.014445745077394927,7593,0.01654928272635918,7582,0.016525304576992746,3649,0.007952026262613052,31,6.539495281754155e-05,39,8.283360690221929e-05,0.00795482890344809,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,12004,15091,0.032893661267223394,5,8.719327042338873e-06,140,0.0003029966147212758,1494,0.003254488818552984,8885,0.019365625361034634,47,0.00010027226098689703,14,2.8337812887601334e-05,0.00799344306606416,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,5336,14478,0.031557424397984965,1000,0.0021776519288241336,809,0.0017613040625524521,5668,0.012353106587233598,3364,0.007330774210846407,250,0.0005427781083855948,225,0.0004882823143709769,0.008030188801456875,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,11695,2964,0.00645884150661252,102,0.00022016300781905652,13503,0.029432088431414864,1315,0.0028642989334083198,7257,0.015816859254802713,512,0.0011138940296587909,149,0.0003226151005665383,0.008032680037754687,6,siren;yang_harmfulness;zhao_topk;zhao_relative_epsilon;wang;wang_robust
27,13988,3429,0.007472463275284414,2044,0.004453396286874579,454,0.0009874637875448772,4556,0.00992913366946339,14970,0.032629901624192645,186,0.00040326887570817283,340,0.0007389629668382194,0.008087798640843757,6,siren;yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust
8,7503,9960,0.021708944503663206,1624,0.0035378669474289974,1719,0.0037449509646845457,2670,0.005817970969000613,791,0.0017220670908619272,3815,0.008313878334870115,5734,0.012496975483432189,0.008191807756277371,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,13869,12416,0.027062611307659273,71,0.00015258822324093027,197,0.00042724702507460473,1050,0.0022866435168533692,12615,0.027496397828015634,74,0.00015912771852268442,24,5.0136130493448515e-05,0.008233535964265707,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust
27,13857,22133,0.04824403652526098,3317,0.007228322118098925,857,0.0018659359870605186,52,0.00011117141978982062,28,5.8855457535787386e-05,146,0.0003160756052847841,279,0.0006059932294425516,0.00834719862035334,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
19,9590,11193,0.024396677064464165,6658,0.014511140030212468,2818,0.006140586069567151,933,0.0020316032008649574,3905,0.00851006319332274,554,0.001205446963603349,852,0.0018550368282575951,0.008378650478613203,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
