variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,30,12258,15256,1164,131,479,0.033253333507719876,0.0025351443375600273,0.00028337812887601336,0.0010419595815594953,0.009278453888928853,1,wang_robust,119
rank_consensus,22,8042,3832,11257,184,1828,0.008350935474800055,0.024536186297141587,0.0003989092121870034,0.00398255262658828,0.00931714590267923,1,wang_robust,120
rank_consensus,31,2305,15302,41,200,1568,0.03335360576870677,8.719327042338872e-05,0.0004337865203563589,0.0034157963688362532,0.009322595482080694,2,yang_harmfulness;wang_robust,121
rank_consensus,21,13489,6506,6364,4082,227,0.01417980560260359,0.01387026949260056,0.008895893414946234,0.0004926419778921463,0.009359652622010632,1,zhao_topk,122
rank_consensus,31,7844,13950,331,126,2780,0.030406473228396232,0.000719344480992957,0.00027247897007308977,0.006057752462664931,0.009364012285531803,2,yang_harmfulness;wang_robust,123
rank_consensus,31,1000,13251,248,637,3286,0.028882770827747515,0.0005384184448644254,0.0013863729997318807,0.007160747333520799,0.009492077401466155,1,yang_harmfulness,124
rank_consensus,30,2792,12787,27,4402,296,0.027871328890836204,5.667562577520267e-05,0.009593439578333344,0.0006430503693724918,0.00954112361607931,2,yang_harmfulness;zhao_topk,125
rank_consensus,28,5085,4738,7475,370,4945,0.010325863049889809,0.016292062578610184,0.000804357919655761,0.010777088224330846,0.00954984294312165,1,wang_robust,126
rank_consensus,1,1306,221,14412,64,2866,0.00047956298732863796,0.03141355550178637,0.00013732940091683724,0.006245217994075217,0.009568916471026766,2,siren;wang_robust,127
rank_consensus,17,14096,14947,2521,122,12,0.032579765493699196,0.0054931760366734896,0.0002637596430307509,2.39781493664319e-05,0.009590169830692467,2,wang_robust;zhao_topk,128
rank_consensus,31,4160,16514,98,209,802,0.03599556186253545,0.00021144368077671765,0.00045340500620162134,0.0017460452402283592,0.009601613947435536,2,yang_harmfulness;wang_robust,129
rank_consensus,31,997,13892,1733,308,1693,0.03028004298628232,0.0037754686093327315,0.0006692083504995085,0.003688275338909343,0.009603248821255976,1,wang_robust,130
rank_consensus,29,1175,2222,10440,178,4872,0.004841406340258658,0.02275526374874387,0.0003858302216234951,0.010617960505808162,0.009650115204108547,1,wang_robust,131
rank_consensus,31,12226,15467,245,687,1575,0.03371327800920325,0.0005318789495826712,0.0014953645877611166,0.0034310551911603464,0.009792894184426845,1,yang_harmfulness,132
rank_consensus,31,2754,14709,2048,278,940,0.03206096553468003,0.004462115613916918,0.0006038133976819669,0.00204686202318905,0.009793439142366992,1,wang_robust,133
rank_consensus,25,10021,12329,5712,78,51,0.026872965944488403,0.012449019184699326,0.0001678470455650233,0.0001089915880292359,0.009899705940695497,2,wang_robust;zhao_topk,134
rank_consensus,31,2467,8077,2199,271,7968,0.017604321298482183,0.004791270209765211,0.0005885545753578739,0.01736671963657845,0.01008771643004593,1,wang_robust,135
rank_consensus,31,8959,10470,244,759,7113,0.022820658701561414,0.0005296991178220865,0.0016523124745232163,0.015502963481278515,0.010126408443796309,1,yang_harmfulness,136
rank_consensus,12,13868,16928,1372,272,38,0.03689801221141752,0.0029885493437616486,0.0005907344071184586,8.065377514163457e-05,0.010139487434359816,2,wang_robust;zhao_topk,137
rank_consensus,31,1681,16051,36,164,2403,0.03498629975738472,7.629411162046513e-05,0.00035531257697530904,0.005235955888924493,0.010163465583726248,2,yang_harmfulness;wang_robust,138
rank_consensus,30,11484,2470,14941,128,1160,0.005382004616883669,0.03256668650313569,0.0002768386335942592,0.0025264250105176884,0.010187988691032828,1,wang_robust,139
rank_consensus,31,4786,15880,1680,50,1180,0.03461354852632474,0.0036599375260217416,0.00010681175626865118,0.0025700216457293827,0.01023757986358613,1,wang_robust,140
rank_consensus,31,1190,8149,563,256,9900,0.01776126918524428,0.0012250654494486116,0.0005558570989491031,0.021578154598028126,0.010280086582917531,1,wang_robust,141
rank_consensus,31,3548,16146,103,216,2517,0.03519338377464027,0.00022234283957964124,0.00046866382852571437,0.00548445670963115,0.010342211788094195,2,yang_harmfulness;wang_robust,142
rank_consensus,16,5033,16312,1699,967,89,0.035555235846897335,0.0037013543294728514,0.0021057174807248375,0.0001918251949314552,0.010388533213006618,1,zhao_topk,143
rank_consensus,31,14073,17901,67,113,1181,0.03901898851446645,0.0001438688961985914,0.00024414115718548844,0.0025722014774899674,0.010494800011335126,2,yang_harmfulness;wang_robust,144
rank_consensus,31,5099,15562,2577,319,813,0.033920362026458796,0.005615246615266234,0.0006931864998659403,0.001770023389594791,0.010499704632796439,1,wang_robust,145
rank_consensus,18,1454,64,19351,86,92,0.00013732940091683724,0.0421797445673143,0.00018528569964970103,0.00019836469021320934,0.010675181089523512,3,siren;wang_robust;zhao_topk,146
rank_consensus,31,2653,15278,1763,162,2530,0.033301289806452736,0.0038408635621502733,0.0003509529134541396,0.005512794522518752,0.010751475201143975,1,wang_robust,147
rank_consensus,28,2807,29,3994,3,15788,6.103528929637211e-05,0.00870406822001478,4.359663521169436e-06,0.03441300400435095,0.010795616794295818,2,siren;wang_robust,148
