layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_wang_robust,percentile_wang_robust,rank_zhao_topk,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
29,1251,15796,0.034430442658435624,357,0.0007760201067681596,295,0.0006408705376119071,205,0.00044468567915928247,0.009073004745493744,3,yang_harmfulness;wang_robust;zhao_topk
31,7598,7700,0.016782524724741746,345,0.000749862125641143,1339,0.002916614895662353,7287,0.015882254207620256,0.009082813988416375,1,yang_harmfulness
30,7872,14978,0.03264734027827732,221,0.00047956298732863796,221,0.00047956298732863796,1297,0.0028250619617177946,0.009107882053663098,2,yang_harmfulness;wang_robust
31,9047,14143,0.030827180758189084,366,0.0007956385926134221,31,6.539495281754155e-05,2186,0.004762932396877609,0.009112786675124416,2,yang_harmfulness;wang_robust
29,7425,337,0.0007324234715564653,11388,0.024821744257778184,46,9.809242922631231e-05,5235,0.011409239434900414,0.009265374898365344,2,siren;wang_robust
31,1973,660,0.0014365091302253293,3441,0.00749862125641143,288,0.0006256117152878141,12626,0.027520375977382067,0.00927027951982666,1,wang_robust
30,12258,15256,0.033253333507719876,1164,0.0025351443375600273,131,0.00028337812887601336,479,0.0010419595815594953,0.009278453888928853,1,wang_robust
22,8042,3832,0.008350935474800055,11257,0.024536186297141587,184,0.0003989092121870034,1828,0.00398255262658828,0.00931714590267923,1,wang_robust
31,2305,15302,0.03335360576870677,41,8.719327042338872e-05,200,0.0004337865203563589,1568,0.0034157963688362532,0.009322595482080694,2,yang_harmfulness;wang_robust
21,13489,6506,0.01417980560260359,6364,0.01387026949260056,4082,0.008895893414946234,227,0.0004926419778921463,0.009359652622010632,1,zhao_topk
31,7844,13950,0.030406473228396232,331,0.000719344480992957,126,0.00027247897007308977,2780,0.006057752462664931,0.009364012285531803,2,yang_harmfulness;wang_robust
31,1000,13251,0.028882770827747515,248,0.0005384184448644254,637,0.0013863729997318807,3286,0.007160747333520799,0.009492077401466155,1,yang_harmfulness
30,2792,12787,0.027871328890836204,27,5.667562577520267e-05,4402,0.009593439578333344,296,0.0006430503693724918,0.00954112361607931,2,yang_harmfulness;zhao_topk
28,5085,4738,0.010325863049889809,7475,0.016292062578610184,370,0.000804357919655761,4945,0.010777088224330846,0.00954984294312165,1,wang_robust
1,1306,221,0.00047956298732863796,14412,0.03141355550178637,64,0.00013732940091683724,2866,0.006245217994075217,0.009568916471026766,2,siren;wang_robust
17,14096,14947,0.032579765493699196,2521,0.0054931760366734896,122,0.0002637596430307509,12,2.39781493664319e-05,0.009590169830692467,2,wang_robust;zhao_topk
31,4160,16514,0.03599556186253545,98,0.00021144368077671765,209,0.00045340500620162134,802,0.0017460452402283592,0.009601613947435536,2,yang_harmfulness;wang_robust
31,997,13892,0.03028004298628232,1733,0.0037754686093327315,308,0.0006692083504995085,1693,0.003688275338909343,0.009603248821255976,1,wang_robust
29,1175,2222,0.004841406340258658,10440,0.02275526374874387,178,0.0003858302216234951,4872,0.010617960505808162,0.009650115204108547,1,wang_robust
31,12226,15467,0.03371327800920325,245,0.0005318789495826712,687,0.0014953645877611166,1575,0.0034310551911603464,0.009792894184426845,1,yang_harmfulness
31,2754,14709,0.03206096553468003,2048,0.004462115613916918,278,0.0006038133976819669,940,0.00204686202318905,0.009793439142366992,1,wang_robust
25,10021,12329,0.026872965944488403,5712,0.012449019184699326,78,0.0001678470455650233,51,0.0001089915880292359,0.009899705940695497,2,wang_robust;zhao_topk
31,2467,8077,0.017604321298482183,2199,0.004791270209765211,271,0.0005885545753578739,7968,0.01736671963657845,0.01008771643004593,1,wang_robust
31,8959,10470,0.022820658701561414,244,0.0005296991178220865,759,0.0016523124745232163,7113,0.015502963481278515,0.010126408443796309,1,yang_harmfulness
12,13868,16928,0.03689801221141752,1372,0.0029885493437616486,272,0.0005907344071184586,38,8.065377514163457e-05,0.010139487434359816,2,wang_robust;zhao_topk
31,1681,16051,0.03498629975738472,36,7.629411162046513e-05,164,0.00035531257697530904,2403,0.005235955888924493,0.010163465583726248,2,yang_harmfulness;wang_robust
30,11484,2470,0.005382004616883669,14941,0.03256668650313569,128,0.0002768386335942592,1160,0.0025264250105176884,0.010187988691032828,1,wang_robust
