layer,neuron_index,score,rank
19,10193,0.22790150535139223,131750
3,1027,0.22790090740647687,131751
0,4725,0.22789988226298025,131752
13,12117,0.22789834024445232,131753
17,1670,0.22789497650917015,131754
7,9498,0.2278945460565767,131755
3,2227,0.22789441757680726,131756
29,14250,0.22789176674334619,131757
3,12992,0.22788819351145484,131758
13,298,0.2278869839151282,131759
15,4725,0.22788628337907063,131760
16,14321,0.2278826588485226,131761
23,9146,0.2278808449188967,131762
22,3572,0.22787858561184118,131763
18,2549,0.2278779581841646,131764
29,316,0.22787581392361692,131765
24,5343,0.2278737125461691,131766
24,2804,0.22787363627429147,131767
21,161,0.227871717704597,131768
19,6976,0.2278715834050241,131769
17,4463,0.22786964986135905,131770
8,14051,0.22786873002968036,131771
27,686,0.22786846991204124,131772
8,7563,0.2278653488188705,131773
6,4189,0.22786222582692495,131774
15,5657,0.22785775351918322,131775
3,1682,0.2278533525001087,131776
11,108,0.2278524001861233,131777
21,11916,0.22784589337986766,131778
7,2935,0.22784572460900274,131779
17,9001,0.22784545742458573,131780
4,6638,0.22784490679221164,131781
27,12522,0.22784423760500708,131782
8,1298,0.22784121388988832,131783
29,5061,0.22783648975842286,131784
25,13611,0.2278199201769752,131785
2,12248,0.22781295286752018,131786
23,8841,0.22780568783869232,131787
2,8644,0.22779778529788042,131788
8,148,0.22779689782661505,131789
23,6160,0.22779577651062868,131790
1,12193,0.22779192419835737,131791
9,8191,0.2277886897535863,131792
13,7985,0.22778373779722733,131793
3,11693,0.2277784418823376,131794
18,6650,0.22777758933374465,131795
3,3704,0.22777509187699835,131796
30,10897,0.22777465332121546,131797
15,11913,0.22777195389425275,131798
27,12133,0.2277688418347552,131799
18,619,0.22776779720952545,131800
7,12467,0.22776689878833148,131801
16,4903,0.22776645565559933,131802
11,3378,0.22776343660790552,131803
16,12843,0.22776208741272208,131804
17,12383,0.22775613139841733,131805
21,12731,0.22775605989655107,131806
19,4222,0.2277518765825032,131807
20,2097,0.2277465050671126,131808
29,4055,0.22774156827087408,131809
31,10221,0.22774147576255122,131810
28,5870,0.22774089888001237,131811
11,13414,0.22773877126391245,131812
20,13242,0.22773594600240935,131813
1,12779,0.22773448290055695,131814
20,1453,0.22773385384024647,131815
17,9505,0.22773322110241576,131816
30,10679,0.22772800029716303,131817
0,9631,0.22772744018786278,131818
20,14288,0.22772624683315468,131819
22,16,0.2277261115547894,131820
2,13535,0.22772605248138925,131821
20,8463,0.22772284099792894,131822
12,7301,0.2277208866291356,131823
22,10932,0.22771933778631534,131824
7,2155,0.22771432789392673,131825
26,12493,0.22771300822606458,131826
30,4187,0.2277114309477395,131827
9,13030,0.22770465574446122,131828
5,10343,0.22770290761165804,131829
28,285,0.2276976450525509,131830
