global_rank,layer,neuron_index,layer_rank,abs_weight,entry_threshold
285012,22,2205,9409,0.0013452966,0.9836716
285013,13,4968,8715,0.0013724011,0.98367175
285014,31,4273,9757,0.00063794758,0.98367208
285015,30,13567,10082,0.0011219431,0.98367238
285016,2,913,6798,0.0034297835,0.98367242
285017,7,431,8584,0.0013231197,0.98367247
285018,23,4085,9429,0.0014744039,0.98367251
285019,16,9503,9229,0.0014157068,0.98367288
285020,8,13144,8806,0.001434857,0.98367295
285021,19,4521,9118,0.0013550729,0.98367296
285022,14,11950,8913,0.0014547071,0.98367298
285023,3,13389,6190,0.0044084629,0.98367321
285024,18,12845,9244,0.0014428084,0.98367328
285025,25,4000,9588,0.001526455,0.98367376
285026,15,11870,9199,0.0014562417,0.98367417
285027,1,8302,7576,0.002049196,0.98367432
285028,28,10835,10280,0.001493301,0.98367465
285029,10,9903,8886,0.0013857667,0.98367482
285030,0,14279,7010,0.0092696603,0.98367499
285031,11,1444,8710,0.0013843579,0.98367526
285032,5,11815,7446,0.0050390824,0.98367533
285033,27,516,9719,0.0015295127,0.98367599
285034,24,7148,9477,0.0014620028,0.98367648
285035,20,11832,9167,0.0012938585,0.98367654
285036,6,10104,8804,0.0013108053,0.98367661
285037,21,6798,9406,0.0014890027,0.98367683
285038,29,9487,10387,0.0012901173,0.98367686
285039,12,2386,8702,0.0013302258,0.98367689
285040,17,12470,9323,0.0014294555,0.98367708
285041,26,5433,8818,0.0040280735,0.98367717
285042,2,11168,6799,0.003429627,0.98367731
285043,9,13538,8956,0.0015125221,0.98367746
285044,4,14170,9315,0.0011127453,0.98367761
285045,13,9155,8716,0.0013721262,0.98367768
285046,3,2348,6191,0.0044076056,0.98367807
285047,22,13355,9410,0.0013452902,0.9836784
285048,7,374,8585,0.0013230891,0.98367842
285049,8,285,8807,0.0014347218,0.9836791
285050,14,5349,8914,0.001454317,0.98367917
285051,31,1279,9758,0.00063794572,0.98367936
285052,19,13128,9119,0.0013549305,0.98367936
