rank,neuron_id,layer,neuron_idx,score,importance
162,453080,31,8664,0.0003689996083267033,0.0003689996083267033
163,452199,31,7783,-0.0003661328228190541,0.0003661328228190541
164,445876,31,1460,-0.00036494238884188235,0.00036494238884188235
165,448928,31,4512,-0.00036211669794283807,0.00036211669794283807
166,455651,31,11235,-0.00036109593929722905,0.00036109593929722905
167,448138,31,3722,0.00036043935688212514,0.00036043935688212514
168,458612,31,14196,-0.00035863748053088784,0.00035863748053088784
169,447459,31,3043,0.00035388130345381796,0.00035388130345381796
170,447668,31,3252,-0.00034807634074240923,0.00034807634074240923
171,434850,30,4770,0.0003442467423155904,0.0003442467423155904
172,429543,29,13799,-0.0003432396042626351,0.0003432396042626351
173,454596,31,10180,-0.00034253051853738725,0.00034253051853738725
174,440910,30,10830,0.0003414027742110193,0.0003414027742110193
175,453148,31,8732,0.00033949047792702913,0.00033949047792702913
176,449170,31,4754,-0.0003378849942237139,0.0003378849942237139
177,454510,31,10094,-0.0003378155524842441,0.0003378155524842441
178,441683,30,11603,-0.00033702258951961994,0.00033702258951961994
179,444832,31,416,0.0003365076845511794,0.0003365076845511794
180,450251,31,5835,-0.00033324299147352576,0.00033324299147352576
181,448005,31,3589,-0.0003303623525425792,0.0003303623525425792
182,445802,31,1386,0.0003293408954050392,0.0003293408954050392
183,453881,31,9465,-0.00032506801653653383,0.00032506801653653383
184,453880,31,9464,-0.0003233897150494158,0.0003233897150494158
185,430920,30,840,0.0003233238239772618,0.0003233238239772618
186,449978,31,5562,0.00032128908787854016,0.00032128908787854016
187,436974,30,6894,0.0003206278779543936,0.0003206278779543936
188,458038,31,13622,0.00031846066121943295,0.00031846066121943295
189,456401,31,11985,0.00031549640698358417,0.00031549640698358417
190,452322,31,7906,-0.0003153169236611575,0.0003153169236611575
191,456224,31,11808,0.00031517911702394485,0.00031517911702394485
192,455440,31,11024,0.0003142205241601914,0.0003142205241601914
193,456014,31,11598,-0.00030921364668756723,0.00030921364668756723
194,449206,31,4790,0.00030888745095580816,0.00030888745095580816
195,445506,31,1090,0.00030787670402787626,0.00030787670402787626
196,458285,31,13869,0.00030710798455402255,0.00030710798455402255
197,450230,31,5814,0.0003060490998905152,0.0003060490998905152
198,453375,31,8959,-0.00030598187004216015,0.00030598187004216015
199,448062,31,3646,0.000304982386296615,0.000304982386296615
200,458627,31,14211,-0.00030313964816741645,0.00030313964816741645
201,453531,31,9115,0.00030222622444853187,0.00030222622444853187
202,457257,31,12841,-0.00030221298220567405,0.00030221298220567405
203,429157,29,13413,-0.0003022065502591431,0.0003022065502591431
204,450006,31,5590,-0.00029934526537545025,0.00029934526537545025
205,454918,31,10502,0.0002992355148307979,0.0002992355148307979
206,447984,31,3568,-0.0002991767250932753,0.0002991767250932753
207,448462,31,4046,0.0002986285835504532,0.0002986285835504532
208,455690,31,11274,0.0002958796394523233,0.0002958796394523233
209,446968,31,2552,0.0002955084783025086,0.0002955084783025086
210,445740,31,1324,-0.00029511211323551834,0.00029511211323551834
211,458523,31,14107,0.00029461877420544624,0.00029461877420544624
212,455904,31,11488,0.00028987033874727786,0.00028987033874727786
213,455826,31,11410,0.0002882311528082937,0.0002882311528082937
214,444853,31,437,-0.0002873454650398344,0.0002873454650398344
215,455250,31,10834,-0.00028619024669751525,0.00028619024669751525
216,438719,30,8639,-0.00028468098025768995,0.00028468098025768995
217,451073,31,6657,-0.0002817322965711355,0.0002817322965711355
218,449457,31,5041,0.00028138532070443034,0.00028138532070443034
219,450299,31,5883,0.0002812266757246107,0.0002812266757246107
220,429769,29,14025,0.00028109789127483964,0.00028109789127483964
221,447252,31,2836,-0.00028055760776624084,0.00028055760776624084
222,434973,30,4893,-0.0002798374043777585,0.0002798374043777585
223,433866,30,3786,-0.0002797084453050047,0.0002797084453050047
224,447705,31,3289,0.0002786342229228467,0.0002786342229228467
225,451435,31,7019,0.00027741564554162323,0.00027741564554162323
226,445811,31,1395,-0.0002770853752736002,0.0002770853752736002
227,449560,31,5144,0.0002760595816653222,0.0002760595816653222
228,455501,31,11085,0.00027595218853093684,0.00027595218853093684
229,431877,30,1797,0.00027508707717061043,0.00027508707717061043
230,450033,31,5617,0.0002749329141806811,0.0002749329141806811
231,451874,31,7458,0.00027443707222118974,0.00027443707222118974
232,446344,31,1928,0.0002741903008427471,0.0002741903008427471
233,456535,31,12119,-0.0002731803397182375,0.0002731803397182375
234,457255,31,12839,0.00027308345306664705,0.00027308345306664705
235,458522,31,14106,-0.0002728365652728826,0.0002728365652728826
236,456561,31,12145,-0.00026906467974185944,0.00026906467974185944
237,439513,30,9433,0.0002690523979254067,0.0002690523979254067
238,446428,31,2012,-0.00026501822867430747,0.00026501822867430747
239,448544,31,4128,-0.00026490562595427036,0.00026490562595427036
240,454649,31,10233,0.0002648479421623051,0.0002648479421623051
241,457446,31,13030,-0.00026458073989488184,0.00026458073989488184
242,447633,31,3217,-0.00026205283938907087,0.00026205283938907087
243,452366,31,7950,0.0002610170340631157,0.0002610170340631157
244,450525,31,6109,0.0002604409819468856,0.0002604409819468856
245,440086,30,10006,0.0002583191671874374,0.0002583191671874374
246,440929,30,10849,0.000256973784416914,0.000256973784416914
247,458155,31,13739,0.0002564676105976105,0.0002564676105976105
248,449184,31,4768,-0.0002559571585152298,0.0002559571585152298
249,449367,31,4951,0.0002548963821027428,0.0002548963821027428
250,457873,31,13457,0.0002545315073803067,0.0002545315073803067
251,435439,30,5359,-0.0002526922326069325,0.0002526922326069325
252,435629,30,5549,-0.0002468392194714397,0.0002468392194714397
253,444597,31,181,0.0002467485028319061,0.0002467485028319061
254,456096,31,11680,0.0002463224227540195,0.0002463224227540195
255,458349,31,13933,0.00024387399025727063,0.00024387399025727063
