rank,neuron_id,layer,neuron_idx,score,importance
70,458522,31,14106,0.13559696078300476,0.13559696078300476
71,456233,31,11817,0.13402526080608368,0.13402526080608368
72,449498,31,5082,0.13398392498493195,0.13398392498493195
73,455219,31,10803,0.1337554156780243,0.1337554156780243
74,446070,31,1654,0.13233447074890137,0.13233447074890137
75,446097,31,1681,0.13163655996322632,0.13163655996322632
76,456535,31,12119,0.13101714849472046,0.13101714849472046
77,446250,31,1834,0.1309058964252472,0.1309058964252472
78,445412,31,996,0.13087902963161469,0.13087902963161469
79,416995,29,1251,0.13009381294250488,0.13009381294250488
80,448928,31,4512,0.12872371077537537,0.12872371077537537
81,442526,30,12446,0.12838338315486908,0.12838338315486908
82,450136,31,5720,0.12825405597686768,0.12825405597686768
83,449787,31,5371,0.12758409976959229,0.12758409976959229
84,445506,31,1090,0.12632693350315094,0.12632693350315094
85,447956,31,3540,0.12602198123931885,0.12602198123931885
86,457518,31,13102,0.12578950822353363,0.12578950822353363
87,456638,31,12222,0.12572726607322693,0.12572726607322693
88,451540,31,7124,0.12416424602270126,0.12416424602270126
89,445466,31,1050,0.1234111413359642,0.1234111413359642
90,457007,31,12591,0.12297847867012024,0.12297847867012024
91,447370,31,2954,0.12196462601423264,0.12196462601423264
92,452277,31,7861,0.12155840545892715,0.12155840545892715
93,420575,29,4831,0.12095120549201965,0.12095120549201965
94,445988,31,1572,0.12077055126428604,0.12077055126428604
95,448544,31,4128,0.12054561078548431,0.12054561078548431
96,455730,31,11314,0.12042900174856186,0.12042900174856186
97,445266,31,850,0.12038859724998474,0.12038859724998474
98,446090,31,1674,0.1202373132109642,0.1202373132109642
99,458349,31,13933,0.11997859925031662,0.11997859925031662
100,447803,31,3387,0.11951246112585068,0.11951246112585068
101,457531,31,13115,0.11950760334730148,0.11950760334730148
102,434050,30,3970,0.11869767308235168,0.11869767308235168
103,457366,31,12950,0.11850905418395996,0.11850905418395996
104,449669,31,5253,0.11822216212749481,0.11822216212749481
105,445163,31,747,0.1179230809211731,0.1179230809211731
106,449202,31,4786,0.11775312572717667,0.11775312572717667
107,454626,31,10210,0.11695824563503265,0.11695824563503265
108,449969,31,5553,0.11695804446935654,0.11695804446935654
109,454875,31,10459,0.11651649326086044,0.11651649326086044
110,458107,31,13691,0.11599388718605042,0.11599388718605042
111,448993,31,4577,0.11592930555343628,0.11592930555343628
112,445552,31,1136,0.11453502625226974,0.11453502625226974
113,453080,31,8664,0.11438636481761932,0.11438636481761932
114,445582,31,1166,0.11438173055648804,0.11438173055648804
115,446093,31,1677,0.11400880664587021,0.11400880664587021
116,452570,31,8154,0.11320565640926361,0.11320565640926361
117,453535,31,9119,0.1130850687623024,0.1130850687623024
118,410387,28,8979,0.11296173930168152,0.11296173930168152
119,450349,31,5933,0.11267729103565216,0.11267729103565216
120,452322,31,7906,0.11246368288993835,0.11246368288993835
121,455175,31,10759,0.11189781129360199,0.11189781129360199
122,448101,31,3685,0.11189776659011841,0.11189776659011841
123,456774,31,12358,0.11151329427957535,0.11151329427957535
124,453353,31,8937,0.11124555766582489,0.11124555766582489
125,449206,31,4790,0.11083374172449112,0.11083374172449112
126,445379,31,963,0.11067171394824982,0.11067171394824982
127,441805,30,11725,0.11014937609434128,0.11014937609434128
128,455576,31,11160,0.1101265475153923,0.1101265475153923
129,447361,31,2945,0.10937047749757767,0.10937047749757767
130,452766,31,8350,0.1088874340057373,0.1088874340057373
131,450485,31,6069,0.1085471585392952,0.1085471585392952
132,447591,31,3175,0.10851515829563141,0.10851515829563141
133,446428,31,2012,0.10836458951234818,0.10836458951234818
134,457830,31,13414,0.10778988897800446,0.10778988897800446
135,440910,30,10830,0.10741376131772995,0.10741376131772995
136,453991,31,9575,0.10726438462734222,0.10726438462734222
137,453591,31,9175,0.10687620937824249,0.10687620937824249
138,458038,31,13622,0.1068241149187088,0.1068241149187088
