method_a,method_b,layer_a,layer_b,cka,null_mean,null_std,z
siren,wang,3,3,0.6952995214989801,0.3520631564280906,0.012675749544386598,27.078190829582166
siren,wang,3,4,0.5297460482240074,0.31820810700290225,0.009903327972186432,21.360288361166162
siren,wang,3,5,0.4910284880217847,0.3203110621488226,0.01851653810458896,9.21972697642942
siren,wang,3,6,0.5016865011718555,0.3433870118018502,0.006554122461774329,24.152659687587004
siren,wang,3,7,0.5191757273666207,0.3435660395351471,0.01136495299003531,15.451862228154097
siren,wang,3,8,0.49647687343726193,0.36007055210287253,0.01742757522853875,7.827039593609986
siren,wang,3,9,0.47956046955708903,0.36337341033808146,0.013395373892504824,8.67367048888559
siren,wang,3,10,0.47878921463656354,0.34600327842501055,0.013317506677334829,9.97078052437116
siren,wang,3,11,0.4504125096211321,0.36851732052424746,0.018591562561033108,4.4049653614663065
siren,wang,3,12,0.42034614759527683,0.37115625995869567,0.0118430724886463,4.15347349125309
siren,wang,3,13,0.44096922877390243,0.3668898308536021,0.004609716491651168,16.070272012274145
siren,wang,3,14,0.4261682564045018,0.3517145342294308,0.010317057168421592,7.216565824890326
siren,wang,3,15,0.4359015411487735,0.3414786286108121,0.01043484044228078,9.048812299550894
siren,wang,3,16,0.4056180022730238,0.315697888416769,0.009786831456817826,9.187867825557937
siren,wang,3,17,0.3967682791589641,0.3128265351542605,0.013495711133275046,6.219882981767202
siren,wang,3,18,0.40888869376982784,0.3177363541299102,0.01387580411926267,6.5691572795682625
siren,wang,3,19,0.36652042485783887,0.3034882919176249,0.005903340543367339,10.67736690390212
siren,wang,3,20,0.34141740148461786,0.2825744004041225,0.009600902930048016,6.128902823955648
siren,wang,3,21,0.435474600849656,0.29132292089758627,0.006548420021372412,22.01320005155359
siren,wang,3,22,0.3005155045063781,0.2490306378691105,0.014748943505720704,3.4907494640072385
siren,wang,3,23,0.3357756248047278,0.2230961376471196,0.013961555920356698,8.070696976782898
siren,wang,3,24,0.4033500887790176,0.24810916914475603,0.008562349518413784,18.130645017516255
siren,wang,3,25,0.34695911896639925,0.25487146688272205,0.01174207731986755,7.842534976998086
siren,wang,3,26,0.4040534335330712,0.23064044330454075,0.011580821884215439,14.974152263311371
siren,wang,3,27,0.3659470996617795,0.26769405871691176,0.0061220912298652905,16.048934466308125
siren,wang,3,28,0.40759030159569337,0.2508915531213186,0.006304271532331082,24.85596435222603
siren,wang,3,29,0.3264392395554386,0.26629876310790734,0.01621198882442279,3.7096297745364666
siren,wang,3,30,0.38798709814108057,0.3214737201890815,0.016956479569393265,3.9225935831666887
siren,wang,3,31,0.4567686655762044,0.3243111576399017,0.0058995283180331495,22.452220041290154
siren,wang,4,0,0.39899880716315045,0.11295690166080838,0.022546466823389365,12.68677295396042
siren,wang,4,2,0.33184547256188024,0.13257146735082023,0.021103329120657453,9.442775785361576
siren,wang,4,3,0.4225848375452868,0.16957035120911676,0.010849448311469738,23.32049327049101
siren,wang,4,4,0.5170884107922594,0.17815227383443766,0.008621623066641083,39.312335315288685
siren,wang,4,5,0.400065204687292,0.1729818363166849,0.010363543890904072,21.911748602706723
siren,wang,4,6,0.39420543001459546,0.18000145849174587,0.010651784140598532,20.10968009635363
siren,wang,4,7,0.4263859672998973,0.1817790091715768,0.016808053288892212,14.552961840617897
siren,wang,4,8,0.40502644201948457,0.1899635101933774,0.013407827275393447,16.040103098642895
siren,wang,4,9,0.3702871366868109,0.20042578012413342,0.005359969464248325,31.690732138620238
siren,wang,4,10,0.3712383928921723,0.18517790756967847,0.01041491848198142,17.864804764856512
siren,wang,4,11,0.36098169327759355,0.19397715251532274,0.014986490386038954,11.143672498388824
siren,wang,4,12,0.3299285364785171,0.19405758253948344,0.014968019665794778,9.077416850909726
siren,wang,4,13,0.32047553307389637,0.1907601360518417,0.01144043388019307,11.33832845681073
siren,wang,4,14,0.3498268315155075,0.18141347662336535,0.013775088067480661,12.225936710322856
siren,wang,4,15,0.3193269890422733,0.18199956391187153,0.007331133857503521,18.73208534991421
siren,wang,4,16,0.29269722591863195,0.16903239386818197,0.00860333611838456,14.374055639438437
siren,wang,4,17,0.26513214352585907,0.16435768695686026,0.007473417967489317,13.484386529347805
