variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,10973,2497,95,0.005440860074419456,0.0002049041854949635,0.00282288212995721,1,yang_harmfulness,50
rank_consensus,31,3084,2432,183,0.00529917100998145,0.0003967293804264187,0.0028479501952039343,1,yang_harmfulness,51
rank_consensus,31,3769,2684,35,0.005848488613648798,7.411427985988042e-05,0.002961301446754339,1,yang_harmfulness,52
rank_consensus,31,10492,2461,288,0.005362386131038406,0.0006256117152878141,0.00299399892316311,1,yang_harmfulness,53
rank_consensus,30,742,2509,282,0.0054670180555464725,0.0006125327247243058,0.003039775390135389,1,yang_harmfulness,54
rank_consensus,12,10867,297,2624,0.0006452302011330766,0.005717698708013716,0.003181464454573396,1,siren,55
rank_consensus,26,5062,357,2609,0.0007760201067681596,0.005685001231604945,0.0032305106691865523,1,siren,56
rank_consensus,31,3166,2812,201,0.006127507079003642,0.0004359663521169436,0.003281736715560293,1,yang_harmfulness,57
rank_consensus,31,3396,390,2631,0.0008479545548674553,0.005732957530337809,0.003290456042602632,1,siren,58
rank_consensus,31,11695,2964,102,0.00645884150661252,0.00022016300781905652,0.0033395022572157884,1,yang_harmfulness,59
rank_consensus,31,3840,2934,280,0.006393446553794978,0.0006081730612031364,0.0035008098074990573,1,yang_harmfulness,60
rank_consensus,31,8053,3176,126,0.00692096583985648,0.00027247897007308977,0.003596722404964785,1,yang_harmfulness,61
rank_consensus,31,12525,3292,77,0.0071738263240843075,0.00016566721380443857,0.0036697467689443732,1,yang_harmfulness,62
rank_consensus,14,1559,100,3361,0.00021580334429788708,0.0073242347155646524,0.0037700190299312696,1,siren,63
rank_consensus,31,5371,3440,21,0.007496441424650845,4.359663521169436e-05,0.00377001902993127,1,yang_harmfulness,64
rank_consensus,31,12913,3467,2,0.007555296882186633,2.179831760584718e-06,0.003778738356973609,1,yang_harmfulness,65
rank_consensus,15,3580,54,3476,0.00011553108331099005,0.0075749153680318955,0.003845223225671443,1,siren,66
rank_consensus,30,7675,3371,182,0.0073460330331705,0.00039454954866583396,0.0038702912909181673,1,yang_harmfulness,67
rank_consensus,31,11638,3497,124,0.007620691835004174,0.00026811930655192034,0.003944405570778047,1,yang_harmfulness,68
rank_consensus,31,12591,3695,28,0.00805229852359995,5.8855457535787386e-05,0.004055576990567868,1,yang_harmfulness,69
rank_consensus,13,7787,144,3610,0.0003117159417636147,0.007867012823950248,0.004089364382856931,1,siren,70
rank_consensus,31,8112,3351,425,0.0073024363979588055,0.0009242486664879204,0.004113342532223363,1,yang_harmfulness,71
rank_consensus,19,1399,312,3515,0.0006779276775418473,0.0076599288066947,0.004168928242118274,1,siren,72
rank_consensus,30,6159,3638,348,0.00792804811324662,0.0007564016209228972,0.004342224867084759,1,yang_harmfulness,73
rank_consensus,31,714,3955,64,0.008619054781351975,0.00013732940091683724,0.004378192091134406,1,yang_harmfulness,74
rank_consensus,28,2807,29,3994,6.103528929637211e-05,0.00870406822001478,0.004382551754655576,1,siren,75
rank_consensus,29,11005,229,3913,0.0004970016414133158,0.008527501847407417,0.004512251744410366,1,siren,76
rank_consensus,31,13076,4318,32,0.009410333710444228,6.757478457812626e-05,0.004738954247511177,1,yang_harmfulness,77
rank_consensus,31,14276,4373,15,0.009530224457276387,3.0517644648186055e-05,0.004780371050962287,1,yang_harmfulness,78
rank_consensus,21,23,22,4433,4.577646697227908e-05,0.00966101436291147,0.004853395414941875,1,siren,79
rank_consensus,30,6623,4204,267,0.00916183288973757,0.000579835248315535,0.004870834069026553,1,yang_harmfulness,80
rank_consensus,31,8300,4095,413,0.008924231227833836,0.0008980906853609038,0.00491116095659737,1,yang_harmfulness,81
rank_consensus,31,14107,4150,381,0.009044121974665996,0.0008283360690221928,0.0049362290218440946,1,yang_harmfulness,82
rank_consensus,31,13774,4234,349,0.009227227842555112,0.0007585814526834819,0.004992904647619297,1,yang_harmfulness,83
rank_consensus,31,2756,4458,222,0.009715510156926089,0.0004817428190892227,0.005098626488007655,1,yang_harmfulness,84
rank_consensus,31,3685,4429,265,0.009652295035869132,0.0005754755847943656,0.005113885310331749,1,yang_harmfulness,85
