layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
30,1595,319,0.0006931864998659403,11864,0.02585934417581651,0.013276265337841224,1,siren
31,11208,11840,0.025807028213562476,434,0.0009438671523331829,0.013375447682947829,1,yang_harmfulness
30,8726,12169,0.026524192862794848,135,0.00029209745591835223,0.0134081451593566,1,yang_harmfulness
31,8652,12151,0.026484955891104323,223,0.0004839226508498074,0.013484439270977065,1,yang_harmfulness
31,1324,12433,0.027099668447589216,19,3.9236971690524926e-05,0.01356945270963987,1,yang_harmfulness
31,13869,12416,0.027062611307659273,71,0.00015258822324093027,0.013607599765450102,1,yang_harmfulness
31,7450,12594,0.027450621361043356,7,1.3078990563508308e-05,0.013731850175803433,1,yang_harmfulness
31,6467,12556,0.027367787754141136,80,0.00017220670908619273,0.013769997231613665,1,yang_harmfulness
30,2792,12787,0.027871328890836204,27,5.667562577520267e-05,0.013964002258305703,1,yang_harmfulness
31,9114,12777,0.027849530573230356,173,0.0003749310628205715,0.014112230818025463,1,yang_harmfulness
31,8937,13038,0.028418466662742968,12,2.39781493664319e-05,0.0142212224060547,1,yang_harmfulness
31,12529,12958,0.028244080121896192,134,0.0002899176241577675,0.01426699887302698,1,yang_harmfulness
30,635,12998,0.02833127339231958,137,0.00029645711943952167,0.01431386525587955,1,yang_harmfulness
31,6072,13095,0.0285427170730963,140,0.0003029966147212758,0.014422856843908788,1,yang_harmfulness
31,7416,13290,0.028967784266410317,30,6.321512105695683e-05,0.014515499693733638,1,yang_harmfulness
31,3540,13210,0.02879339772556354,141,0.00030517644648186054,0.0145492870860227,1,yang_harmfulness
31,850,13351,0.029100754003805986,23,4.79562987328638e-05,0.014574355151269425,1,yang_harmfulness
30,9247,13090,0.028531817914293375,287,0.0006234318835272294,0.014577624898910301,1,yang_harmfulness
31,1000,13251,0.028882770827747515,248,0.0005384184448644254,0.01471059463630597,1,yang_harmfulness
31,12119,13463,0.029344895160991476,40,8.5013438662804e-05,0.01471495429982714,1,yang_harmfulness
31,12323,13115,0.028586313708307994,414,0.0009002705171214885,0.014743292112714742,1,yang_harmfulness
31,12841,13426,0.02926424138584984,210,0.00045558483796220606,0.014859913111906023,1,yang_harmfulness
31,12193,13444,0.029303478357540366,200,0.0004337865203563589,0.014868632438948362,1,yang_harmfulness
31,11057,429,0.0009329679935302593,13257,0.028895849818311024,0.014914408905920641,1,siren
26,2128,76,0.00016348738204385386,13763,0.02999884468916689,0.015081166035605373,1,siren
31,3630,13719,0.029902932091701164,147,0.00031825543704536884,0.015110593764373266,1,yang_harmfulness
31,6761,13697,0.029854975792968298,298,0.0006474100328936613,0.01525119291293098,1,yang_harmfulness
27,1633,218,0.0004730234920468838,13781,0.030038081660857415,0.01525555257645215,1,siren
30,1795,13593,0.029628273289867488,411,0.0008937310218397344,0.01526100215585361,1,yang_harmfulness
29,11082,75,0.00016130755028326914,13931,0.030365056424945122,0.015263181987614196,1,siren
31,289,13797,0.03007295896902677,215,0.00046648399676512965,0.015269721482895949,1,yang_harmfulness
31,12973,13582,0.029604295140501054,446,0.0009700251334601995,0.015287160136980628,1,yang_harmfulness
30,5905,13745,0.029959607717476366,312,0.0006779276775418473,0.015318767697509107,1,yang_harmfulness
31,7844,13950,0.030406473228396232,331,0.000719344480992957,0.015562908854694595,1,yang_harmfulness
31,11314,14261,0.03108440090593808,107,0.0002310621666219801,0.01565773153628003,1,yang_harmfulness
31,9047,14143,0.030827180758189084,366,0.0007956385926134221,0.015811409675401254,1,yang_harmfulness
31,1798,14338,0.0312522479515031,175,0.00037929072634174094,0.01581576933892242,1,yang_harmfulness
1,1306,221,0.00047956298732863796,14412,0.03141355550178637,0.015946559244557505,1,siren
28,8985,425,0.0009242486664879204,14252,0.031064782420092817,0.01599451554329037,1,siren
31,1834,14493,0.03159012187439374,224,0.0004861024826103921,0.016038112178502064,1,yang_harmfulness
27,2165,315,0.0006844671728236015,14410,0.0314091958382652,0.016046831505544402,1,siren
31,6432,14750,0.032150338636864007,14,2.8337812887601334e-05,0.016089338224875804,1,yang_harmfulness
19,8298,63,0.00013514956915625253,14709,0.03206096553468003,0.016098057551918142,1,siren
31,12668,14610,0.031845162190382144,174,0.0003771108945811562,0.01611113654248165,1,yang_harmfulness
31,3828,14766,0.03218521594503336,58,0.00012425041035332894,0.016154733177693344,1,yang_harmfulness
31,345,14456,0.0315094680992521,440,0.0009569461428966912,0.016233207121074393,1,yang_harmfulness
31,7873,14903,0.03248385289623347,34,7.19344480992957e-05,0.016277893672166383,1,yang_harmfulness
31,12004,15091,0.032893661267223394,5,8.719327042338873e-06,0.016451190297132868,1,yang_harmfulness
30,7872,14978,0.03264734027827732,221,0.00047956298732863796,0.01656345163280298,1,yang_harmfulness
31,2305,15302,0.03335360576870677,41,8.719327042338872e-05,0.016720399519565082,1,yang_harmfulness
30,8716,15170,0.03306586797630959,185,0.0004010890439475881,0.016733478510128588,1,yang_harmfulness
31,11202,15033,0.032767231025109485,362,0.0007869192655710832,0.016777075145340284,1,yang_harmfulness
26,14003,112,0.0002419613254249037,15442,0.03365878221518863,0.016950371770306765,1,siren
31,5509,15544,0.03388112505476827,17,3.487730816935549e-05,0.016958001181468813,1,yang_harmfulness
31,2549,15585,0.033970498156952245,26,5.449579401461795e-05,0.017012496975483432,1,yang_harmfulness
31,12226,15467,0.03371327800920325,245,0.0005318789495826712,0.01712257847939296,1,yang_harmfulness
18,290,214,0.00046430416500454493,15559,0.03391382253117704,0.017189063348090793,1,siren
31,14211,15755,0.03434106955625165,129,0.0002790184653548439,0.017310044010803247,1,yang_harmfulness
31,2958,15899,0.03465496532977585,104,0.00022452267134022595,0.017439744000558036,1,yang_harmfulness
31,1681,16051,0.03498629975738472,36,7.629411162046513e-05,0.017531296934502595,1,yang_harmfulness
31,1209,15843,0.0345328947511831,257,0.0005580369307096878,0.017545465840946396,1,yang_harmfulness
29,1251,15796,0.034430442658435624,357,0.0007760201067681596,0.01760323138260189,1,yang_harmfulness
19,2017,212,0.0004599445014833755,15976,0.03482281237534087,0.017641378438412122,1,siren
31,3548,16146,0.03519338377464027,103,0.00022234283957964124,0.017707863307109956,1,yang_harmfulness
16,6950,17,3.487730816935549e-05,16240,0.035398287960135236,0.017716582634152295,1,siren
29,1246,15993,0.034859869515270814,324,0.0007040856586688639,0.017781977586969838,1,yang_harmfulness
31,7693,16238,0.035393928296614065,181,0.00039236971690524925,0.017893149006759656,1,yang_harmfulness
31,12584,16310,0.035550876183376164,177,0.0003836503898629104,0.017967263286619538,1,yang_harmfulness
31,6511,16109,0.03511272999949864,385,0.0008370553960645317,0.017974892697781585,1,yang_harmfulness
31,3251,16257,0.03543534510006518,351,0.0007629411162046513,0.018099143108134916,1,yang_harmfulness
31,4160,16514,0.03599556186253545,98,0.00021144368077671765,0.018103502771656083,1,yang_harmfulness
31,4512,16587,0.036154689581058136,158,0.00034223358641180074,0.018248461583734967,1,yang_harmfulness
30,10682,16378,0.03569910474309593,396,0.0008610335454309636,0.018280069144263444,1,yang_harmfulness
19,635,162,0.0003509529134541396,16733,0.036472945018103504,0.018411948965778822,1,siren
31,2188,16714,0.03643152821465239,236,0.0005122604637374088,0.0184718943391949,1,yang_harmfulness
31,14196,16952,0.036950328173671554,20,4.1416803451109644e-05,0.01849587248856133,1,yang_harmfulness
31,1165,16623,0.036233163524439185,455,0.000989643619305462,0.018611403571872322,1,yang_harmfulness
15,9635,16,3.269747640877077e-05,17217,0.03752798359022651,0.01878034053331764,1,siren
30,3970,17008,0.0370723987522643,239,0.0005187999590191629,0.01879559935564173,1,yang_harmfulness
12,9336,60,0.00012861007387449837,17256,0.03761299702888931,0.018870803551381904,1,siren
30,11725,17222,0.03753888274902943,163,0.0003531327452147243,0.018946007747122077,1,yang_harmfulness
31,3568,17320,0.03775250626156673,106,0.0002288823348613954,0.018990694298214063,1,yang_harmfulness
31,5448,17502,0.03814923564199315,151,0.0003269747640877077,0.01923810520304043,1,yang_harmfulness
31,6096,17430,0.03799228775523105,405,0.0008806520312762261,0.01943646989325364,1,yang_harmfulness
